2026-09-07 23:46:19,450 | INFO | hr_assistant.pipeline | Building the HR assistant
2026-09-07 23:47:55,338 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:47:57,689 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:47:57,714 | INFO | hr_assistant.pipeline | Final answer: Hello! How can I help you today? 😊
2026-09-07 23:47:58,201 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:14,882 | INFO | __main__ | === Streamlit run: new question received ===
2026-09-07 23:48:14,887 | INFO | hr_assistant.pipeline | User question: company name
2026-09-07 23:48:16,328 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:17,970 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:17,996 | INFO | hr_assistant.tools | search_hr_policy called with query : company name
2026-09-07 23:48:24,826 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-07 23:48:24,832 | INFO | hr_assistant.tools | Founnd 0 matching chunks (s)
2026-09-07 23:48:29,136 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:29,148 | INFO | hr_assistant.tools | search_hr_policy called with query : company name
2026-09-07 23:48:34,758 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-07 23:48:34,763 | INFO | hr_assistant.tools | Founnd 0 matching chunks (s)
2026-09-07 23:48:35,885 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:35,899 | INFO | hr_assistant.tools | search_hr_policy called with query : company name
2026-09-07 23:48:41,516 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-07 23:48:41,521 | INFO | hr_assistant.tools | Founnd 0 matching chunks (s)
2026-09-07 23:48:42,848 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:42,862 | INFO | hr_assistant.tools | search_hr_policy called with query : company name
2026-09-07 23:48:44,061 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-07 23:48:44,066 | INFO | hr_assistant.tools | Founnd 0 matching chunks (s)
2026-09-07 23:48:44,793 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:44,804 | INFO | hr_assistant.tools | search_hr_policy called with query : company name
2026-09-07 23:48:53,190 | INFO | httpx | HTTP Request: POST https://888a87b1-d0f4-49ee-822b-35c10ea6ab5a.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy/points/query "HTTP/1.1 200 OK"
2026-09-07 23:48:53,195 | INFO | hr_assistant.tools | Founnd 0 matching chunks (s)
2026-09-07 23:48:54,728 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-07 23:48:54,738 | INFO | hr_assistant.pipeline | Final answer: I’m sorry, but I don’t have that information.
2026-09-07 23:48:56,121 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
